,revenue
561,34522221
562,7500000
563,11000000
564,49000000
565,486021
566,7175592
567,8000000
568,43650785
569,37285
570,2189047
571,24377151
572,754935
573,4571025
574,11642254
575,205298907
576,123820
577,849915
578,7338987
579,4350774
580,97
581,10000000
582,665450
583,49364621
584,1778391
585,117487473
586,27409889
587,21520719
588,73174566
589,13878334
590,33700
591,59754601
592,918239
593,45250
594,285930
595,3200000
596,20117339
597,100914445
598,27200316
599,11000000
600,23937870
601,146936910
602,19054534
603,10198357
604,638641
605,30
606,1929168
607,2945242
608,230069
609,25196249
610,55707411
611,33000000
612,719968
613,32846
614,8750000
615,1200000
616,2978994
617,1300000
618,9789900
619,17432163
620,189015611
621,12706478
622,11294
623,17280326
624,3788000
625,15520023
626,6841570
627,235483004
628,52034889
629,18814720
630,60289912
631,104507
632,22456509
633,21930418
634,1600000
635,4905000
636,709709780
637,19179969
638,9069
639,7241180
640,56298474
641,31609243
642,41162041
643,958400000
644,77628265
645,709827462
646,10013424
647,2275557
648,32222567
649,206728
650,1084939099
651,60527873
652,34664
653,91974818
654,7563728
655,521311860
656,24769466
657,238073
658,135680000
659,204594016
660,250200000
661,182379278
662,4630045
663,926287400
664,4267218
665,53267000
666,41205099
667,3221568
668,1919653
669,171539887
670,553198
671,73276047
672,13769
673,56505065
674,8138788
675,42700000
676,78874843
677,142337240
678,764083
679,10
680,24186232
681,226497209
682,4122748
683,222300000
684,13022756
685,331957105
686,76932943
687,11403529
688,330444045
689,37884
690,109676311
691,115350426
692,11341016
693,42724017
694,600000
695,3833507
696,1723872
697,65595485
698,80154140
699,6375979
700,27635305
701,596000
702,10785801
703,1056938
704,4352094
705,532269
706,6086508
707,8910819
708,38610009
709,641100
710,121214377
711,5496951
712,18662027
713,41597830
714,239606210
715,3900000
716,68411275
717,1461989
718,4417667
719,10130000
720,205366737
721,11300653
722,28281
723,40940662
724,560069
725,96105964
726,327803731
727,54215416
728,1749201
729,135000000
730,37664855
731,14000000
732,114830111
733,408247917
734,4159678
735,193355800
736,37799643
737,23978402
738,2120439
739,1893139
740,17000000
741,83719388
742,21049053
743,15992615
744,137298489
745,3166000
746,9000000
747,46
748,6700000
749,75143
750,83061158
751,9600000
752,59700000
753,15556340
754,44703995
755,66351
756,5837674
757,56000000
758,105610124
759,179379533
760,129000000
761,38135878
762,112462508
763,55240
764,2826523
765,245623848
766,16017403
767,3000000
768,1400000
769,28023563
770,72700000
771,47000000
772,744816
773,211952420
774,12000000
775,22000000
776,1479042
777,1268395
778,3100000
779,114194847
780,18564613
781,9797098
782,23803308
783,714766572
784,20158808
785,4469460
786,34659
787,4
788,15071514
789,1440000
790,79700000
791,262797249
792,79799880
793,105656
794,50244700
795,649398328
796,114908830
797,102825796
798,989000
799,1179676
800,1009620
801,176997168
802,136203
803,57041866
804,6856989
805,126248813
806,38502340
807,364937
808,25405445
809,186883563
810,125400
811,544272402
812,95404397
813,4601043
814,15395087
815,42160849
816,2697930
817,355962
818,4820000
819,48668907
820,45703
821,12534961
822,524668
823,32000
824,88
825,60722734
826,54600000
827,27610873
828,20374201
829,6500000
830,140081992
831,875386
832,426224
833,40105542
834,2750275
835,415252786
836,209935
837,1
838,77000000
839,1954937
840,29251596
841,7060876
842,25966555
843,20211394
844,9138338
845,384335608
846,119772232
847,5000000
848,886686817
849,16000000
850,52761
851,20000000
852,40903593
853,8888143
854,3351735
855,6166819
856,31815
857,7185518
858,248392
859,7240837
860,28744356
861,340147
862,37000000
863,8022000
864,443684
865,30000000
866,30471
867,23598
868,32483410
869,14655628
870,58662452
871,3775000
872,159055768
873,87600000
874,6000000
875,132511035
876,40266982
877,296557
878,36779296
879,2040920
880,43984230
881,331000
882,23510601
883,1672730
884,173013509
885,9500000
886,72778712
887,200406
888,67821
889,17380126
890,28931401
891,24793509
892,48878502
893,215339
894,53447
895,58620973
896,72417394
897,123726688
898,3
899,6147
900,320145693
901,110996879
902,21409028
903,2270658
904,65088797
905,205703818
906,51148651
907,2262223
908,301000000
909,1500000
910,32726956
911,2200000
912,46216641
913,14393902
914,212000000
915,147542
916,176070171
917,7227038
918,88545092
919,354248063
920,147332697
921,33461269
922,318982
923,120000
924,163403799
925,82150642
926,15298355
927,11650
928,1289998
929,297138014
930,455815
931,19000000
932,9518342
933,810455
934,1113277
935,11582891
936,180622424
937,312242626
938,307076
939,9800000
940,6347072
941,149044513
942,11081586
943,1123746996
944,22200000
945,47748
946,2620000
947,62022014
948,2724474
949,1750211
950,121463226
951,970816
952,9392
953,211780824
954,30857814
955,29762011
956,85313124
957,9190819
958,133346506
959,558000
960,104399548
961,29456000
962,95673607
963,1110566
964,401421
965,31576
966,3301446
967,188133322
968,117760134
969,1606624
970,8203235
971,2948386
972,36144000
973,5101756
974,10400000
975,74901339
976,143451
977,39340177
978,500000
979,850259
980,21830957
981,157107755
982,80768
983,86369815
984,1192322
985,74918
986,337580051
987,99000
988,6834525
989,206172544
990,867714
991,17011
992,4291965
993,141069860
994,174822325
995,383257136
996,10126458
997,3221152
998,21284514
999,21706101
1000,603943
1001,264118201
1002,78382433
1003,8009329
1004,171963386
1005,141195658
1006,78378744
1007,5602431
1008,121129
1009,4000000
1010,8800000
1011,7830611
1012,15478800
1013,5600000
1014,75450437
1015,5262047
1016,6819587
1017,120455994
1018,82466670
1019,1000000
1020,36754634
1021,589304
1022,7205
1023,60611975
1024,1107542
1025,3100000
1026,22270
1027,145896422
1028,18000000
1029,16863583
1030,1337274
1031,58840
1032,502758
1033,5475058
1034,2405420
1035,1543112
1036,3117985
1037,426480871
1038,2287714
1039,31720158
1040,2807854
1041,6000000
1042,27187653
1043,8038508
1044,87404651
1045,3537961
1046,4300000
1047,11000000
1048,138730
1049,24689703
1050,21000000
1051,116672912
1052,37803872
1053,1675484
1054,162091208
1055,400062763
1056,48814909
1057,224803475
1058,9930095
1059,3646994
1060,70600000
1061,14631377
1062,1986615
1063,83398
1064,10755447
1065,850000000
1066,531865000
1067,14904
1068,74134790
1069,698491347
1070,230884728
1071,57891803
1072,109449237
1073,2459895
1074,8178569
1075,4100000
1076,40272135
1077,15429177
1078,138000
1079,74608570
1080,12355798
1081,28900000
1082,77068246
1083,40996665
1084,382267
1085,3662459
1086,310000000
1087,10462500
1088,500000
1089,35424826
1090,500000
1091,16675000
1092,21032267
1093,101134059
1094,11348324
1095,10082
1096,60209334
1097,500000
1098,95149435
1099,8
1100,17374595
1101,5000000
1102,68729358
1103,123494610
1104,19131000
1105,19777647
1106,71624879
1107,288752301
1108,16337881
1109,161451538
1110,1277401
1111,22642033
1112,10229331
1113,28733290
1114,7500000
1115,3639345
1116,144000000
1117,9902115
1118,159330280
1119,54674226
1120,254134910
1121,100544
1122,173000000
1123,1631839
1124,13200241
1125,1025491110
1126,2019000
1127,1108462
1128,1506249360
1129,77477008
1130,41604473
1131,132675402
1132,311245
1133,407778013
1134,14110589
1135,14715067
1136,56825
1137,6472990
1138,250288523
1139,1332231
1140,20471382
1141,26828365
1142,21750000
1143,252712101
1144,106498
1145,5483299
1146,51854875
1147,294456605
1148,18948425
1149,1238080
1150,98159963
1151,194168700
1152,15014674
1153,4307000
1154,152761
1155,2043704
1156,14859394
1157,29252978
1158,2850263
1159,32721635
1160,14056528
1161,2841000
1162,14000000
1163,5820015
1164,666045
1165,195745823
1166,9221
1167,84431625
1168,265452
1169,28200
1170,213954274
1171,3335984
1172,50673078
1173,920100000
1174,550000000
1175,8100000
1176,116643346
1177,40084041
1178,2400000
1179,5809330
1180,4947717
1181,162242962
1182,313542341
1183,6174491
1184,13000000
1185,3202000
1186,1473809
1187,65046687
1188,34327391
1189,9584131
1190,25762027
1191,202000
1192,22750363
1193,58405313
1194,773228
1195,100
1196,258464
1197,92100
1198,361832400
1199,634074
1200,14681192
1201,37930465
1202,229736344
1203,1000000
1204,253527
1205,66000000
1206,928391
1207,19255873
1208,23507567
1209,227817248
1210,653951
1211,773328629
1212,76578911
1213,91636986
1214,37641
1215,56714147
1216,185898
1217,310724
1218,97838349
1219,100020092
1220,50671850
1221,157100845
1222,61489265
1223,60845711
1224,1500000
1225,519535
1226,3418141
1227,288500217
1228,110000000
1229,3295624
1230,67872296
1231,7237794
1232,37170057
1233,76578641
1234,9816332
1235,217201
1236,6000000
1237,352927224
1238,25434291
1239,122700000
1240,2474000
1241,45742101
1242,34808403
1243,55495563
1244,64350171
1245,101191884
1246,228136
1247,25836616
1248,87000000
1249,63327201
1250,7266209
1251,130000
1252,340312
1253,93000
1254,2600000
1255,419651413
1256,35114428
1257,17508518
1258,39673161
1259,75505856
1260,105200903
1261,13674
1262,37962774
1263,11122090
1264,7022209
1265,69823199
1266,189859560
1267,78000586
1268,3214116
1269,72070731
1270,8212430
1271,10300
1272,21567853
1273,91753202
1274,121
1275,7900000
1276,192816
1277,120620
1278,129115
1279,671
1280,2594000
1281,1189612
1282,161410
1283,653428261
1284,25480490
1285,12935800
1286,140021
1287,19412993
1288,50750000
1289,10000000
1290,4069090
1291,100525432
1292,24145613
1293,136766062
1294,1200398
1295,9317021
1296,1759252
1297,242295562
1298,3878993
1299,17185632
1300,29010817
1301,38290723
1302,101646581
1303,154120
1304,335062621
1305,7218340
1306,38574362
1307,10589102
1308,110230332
1309,58978653
1310,5967038
1311,2279000
1312,52970014
1313,1021103568
1314,7400000
1315,13129846
1316,140987
1317,43928932
1318,276572938
1319,432274
1320,1
1321,27642707
1322,76000000
1323,9450897
1324,3338228
1325,2683519
1326,56422687
1327,10000000
1328,70918
1329,196781193
1330,41000000
1331,2042530
1332,3485127
1333,599045960
1334,6483963
1335,143597
1336,18564088
1337,3337685
1338,6000000
1339,21028755
1340,5363000
1341,12118661
1342,68696770
1343,108103450
1344,1486992
1345,6263883
1346,110000000
1347,1
1348,10400000
1349,10032765
1350,254190
1351,333000000
1352,44196684
1353,98450062
1354,4719695
1355,35294470
1356,44527234
1357,5129058
1358,36160375
1359,1004558444
1360,3151130
1361,1805884
1362,8679814
1363,181107
1364,67112664
1365,220021259
1366,59612888
1367,3692836
1368,77737889
1369,5151936
1370,19800000
1371,1744858
1372,38901218
1373,7011317
1374,7025496
1375,25333333
1376,193772504
1377,35739755
1378,10676194
1379,31899000
1380,35078241
1381,4129250
1382,64110728
1383,694713380
1384,20566327
1385,44806783
1386,155545279
1387,149521495
1388,24902723
1389,41482207
1390,523511
1391,2804874
1392,10848783
1393,20710451
1394,202466756
1395,235666219
1396,47267001
1397,863416141
1398,52604
1399,121059225
1400,422
1401,4864560
1402,245066411
1403,72287783
1404,7339398
1405,11472454
1406,114178613
1407,16605763
1408,124914842
1409,185438673
1410,300859
1411,4635143
1412,240159255
1413,79666653
1414,26250020
1415,99303
1416,30127963
1417,26570463
1418,17514553
1419,55447968
1420,12368234
1421,12000
1422,11576431
1423,91038276
1424,19510371
1425,25
1426,4971340
1427,1530216
1428,10654385
1429,566736
1430,10959475
1431,13865435
1432,11567217
1433,50504655
1434,144216468
1435,20642922
1436,161789
1437,85241496
1438,60726164
1439,65884703
1440,718490
1441,165478348
1442,24134
1443,25000000
1444,38058335
1445,285176741
1446,18704595
1447,41954997
1448,10016934
1449,12065892
1450,14166853
1451,13670688
1452,17092453
1453,151161491
1454,16633035
1455,5923044
1456,38159905
1457,102272727
1458,712294
1459,25482931
1460,300400432
1461,78054825
1462,81452156
1463,66486080
1464,8303261
1465,858591
1466,221295
1467,110879513
1468,28169671
1469,819939
1470,17336370
1471,46264384
1472,21722776
1473,1117920
1474,93600000
1475,48911
1476,36611610
1477,4800080
1478,40239
1479,350006
1480,820580447
1481,2437000
1482,13551174
1483,23057115
1484,67918658
1485,9504139
1486,54744738
1487,120000000
1488,8026971
1489,30
1490,14016568
1491,99965753
1492,4000000
1493,18000
1494,19905359
1495,8500000
1496,706000
1497,69932387
1498,12314651
1499,43493123
1500,108083
1501,3324330
1502,19776159
1503,4371000
1504,14828081
1505,15691192
1506,35485608
1507,2500000
1508,19184015
1509,67642693
1510,3832228
1511,6491240
1512,9700000
1513,132820716
1514,444098
1515,1261947
1516,49002684
1517,117698894
1518,24719215
1519,14717854
1520,11130889
1521,66002004
1522,14899417
1523,59389433
1524,25754284
1525,94061311
1526,834332
1527,6682098
1528,2970
1529,3623330
1530,23367586
1531,16991902
1532,499168
1533,1942423
1534,3376375
1535,170877916
1536,135130999
1537,24760338
1538,67192859
1539,243240178
1540,662845518
1541,12434778
1542,22165608
1543,18663238
1544,1246141
1545,1305195
1546,10113733
1547,5000000
1548,146900000
1549,14873
1550,30658387
1551,5000000
1552,231411584
1553,191185897
1554,9237470
1555,278731369
1556,17393
1557,105178561
1558,4878242
1559,9234510
1560,43528634
1561,17381942
1562,27634716
1563,34533783
1564,23083334
1565,102617
1566,87055349
1567,7993039
1568,442965
1569,102367405
1570,222231186
1571,240093
1572,108782847
1573,408579038
1574,41744718
1575,3
1576,2128186
1577,85300000
1578,29000000
1579,2736000
1580,5777916
1581,41158757
1582,12308521
1583,171120329
1584,132900000
1585,331926147
1586,97542952
1587,17425000
1588,38505009
1589,42647449
1590,23550000
1591,51680201
1592,1730000
1593,1221366
1594,3106835
1595,9016377
1596,494506
1597,119723856
1598,17654912
1599,985007
1600,31911598
1601,2228115
1602,26414658
1603,16775
1604,500188435
1605,18591272
1606,9500000
1607,73244881
1608,346864462
1609,55987321
1610,43579163
1611,86362372
1612,17804565
1613,57059003
1614,258022233
1615,539896
1616,36894225
1617,91000000
1618,25893810
1619,85167639
1620,4073489
1621,40263020
1622,182857
1623,31179516
1624,114956699
1625,8613462
1626,616801808
1627,120207127
1628,17096053
1629,64227
1630,25005257
1631,18340000
1632,12372410
1633,473993
1634,431971116
1635,84785914
1636,20240128
1637,40485039
1638,615816
1639,100345
1640,10000000
1641,13269963
1642,19300483
1643,151493655
1644,97437106
1645,120081841
1646,390659
1647,20256975
1648,100230832
1649,368744044
1650,646714
1651,606694
1652,12000000
1653,226286
1654,186702
1655,4588176
1656,15530077
1657,7820688
1658,97552050
1659,73956241
1660,21300000
1661,190000
1662,10703234
1663,4215859
1664,35022
1665,3065860
1666,129042871
1667,70067909
1668,12382362
1669,107879496
1670,115860
1671,6614280
1672,87100449
1673,32
1674,2106557
1675,40120144
1676,1000000
1677,2303
1678,94882889
1679,8690429
1680,3956913
1681,6700
1682,148868835
1683,22921898
1684,1300000
1685,46201432
1686,73648228
1687,457363168
1688,1347747
1689,113783
1690,645135
1691,31894
1692,36642838
1693,5844868
1694,3090862
1695,22896728
1696,6754898
1697,151119219
1698,154026136
1699,56702901
1700,276921998
1701,320170008
1702,181466833
1703,5446000
1704,2452566
1705,101236
1706,6000000
1707,18317151
1708,6860853
1709,219417255
1710,12000000
1711,20000000
1712,300000
1713,2744253
1714,218626
1715,35150960
1716,470654000
1717,5255
1718,9700000
1719,250821495
1720,139804348
1721,13162475
1722,50451307
1723,50656
1724,9563393
1725,6000000
1726,36893721
1727,540152
1728,87528173
1729,3665069
1730,3566637
1731,113020255
1732,13983
1733,5310554
1734,40846082
1735,7897645
1736,5596708
1737,9109322
1738,96618699
1739,7865
1740,1914166
1741,424760
1742,41480851
1743,60000000
1744,47175038
1745,21800302
1746,16374328
1747,609123048
1748,315156409
1749,12803305
1750,16829545
1751,40000
1752,127666415
1753,19701164
1754,2681345
1755,11715321
1756,42930462
1757,33395426
1758,500000
1759,65497208
1760,758539785
1761,25232289
1762,13276953
1763,19738015
1764,11087569
1765,346592
1766,33463969
1767,7965
1768,3000000
1769,1400000
1770,8500000
1771,12413650
1772,23
1773,15000000
1774,1045713802
1775,17292381
1776,3764219
1777,61801971
1778,1250000
1779,559852396
1780,230698791
1781,203781
1782,7096000
1783,18552460
1784,158733820
1785,2586511
1786,153083102
1787,4100000
1788,10000000
1789,263000
1790,40400657
1791,10006806
1792,6341684
1793,227799884
1794,320092
1795,2891288
1796,2012927
1797,11373501
1798,76657000
1799,22321
1800,57588485
1801,26155781
1802,846704
1803,4192440
1804,460226
1805,6000000
1806,15502112
1807,5091888
1808,27092880
1809,305875730
1810,36869414
1811,5873871
1812,3400278
1813,217764291
1814,69307224
1815,461162
1816,1547397
1817,20000000
1818,81381
1819,66559
1820,46471023
1821,32710894
1822,62000000
1823,7399763
1824,13000000
1825,214000
1826,274470394
1827,696681
1828,9077700
1829,39459427
1830,33013805
1831,49601
1832,7070330
1833,288312
1834,8251071
1835,871279
1836,78309131
1837,58510
1838,18197398
1839,49042224
1840,207283925
1841,779820
1842,11176469
1843,169852759
1844,52882018
1845,51416464
1846,260696994
1847,138259062
1848,63215872
1849,134095253
1850,8674093
1851,20000000
1852,10409377
1853,103951461
1854,7306
1855,177238796
1856,42070000
1857,73762516
1858,2642983
1859,8555008
1860,49111202
1861,57120318
1862,7406
1863,54586584
1864,10224116
1865,9318
1866,461983149
1867,104931801
1868,21170563
1869,14347000
1870,2402067
1871,1535558
1872,50007546
1873,407711549
1874,52287414
1875,68000000
1876,90383208
1877,4104962
1878,356296601
1879,179000
1880,8143225
1881,631442092
1882,80000000
1883,1296184
1884,87840042
1885,73180723
1886,1686429
1887,6405245
1888,20080020
1889,1179002
1890,83557872
1891,5794184
1892,33000000
1893,6500000
1894,1100000
1895,173965010
1896,852336
1897,741766
1898,24332324
1899,6861102
1900,459270619
1901,28607524
1902,278019771
1903,200182160
1904,474171806
1905,30199105
1906,126737428
1907,10474
1908,13885802
1909,921974
1910,117629
1911,19472057
1912,141000000
1913,146497771
1914,3600000
1915,12250
1916,5206
1917,10017322
1918,6341855
1919,269823
1920,76286096
1921,362000072
1922,120680
1923,14054361
1924,2500000
1925,32648673
1926,48428063
1927,100853753
1928,1083282
1929,363889678
1930,42886719
1931,223664608
1932,79958599
1933,23020
1934,93525586
1935,94935764
1936,29359216
1937,161025640
1938,6212282
1939,4900000
1940,107196498
1941,4627375
1942,121790373
1943,102000000
1944,10011050
1945,56681566
1946,908847
1947,655011224
1948,7847000
1949,41296320
1950,86758912
1951,8135031
1952,14624826
1953,36690067
1954,82719885
1955,28341469
1956,660940780
1957,113244290
1958,192452832
1959,133432856
1960,100000000
1961,108539911
1962,153518974
1963,8125592
1964,470490832
1965,23875127
1966,17487531
1967,9304609
1968,150000000
1969,108000000
1970,10076790
1971,16757163
1972,2033165
1973,36000000
1974,7171
1975,5405313
1976,373554033
1977,17530973
1978,25034000
1979,6698361
1980,187361754
1981,82703
1982,100523181
1983,140795793
1984,14782676
1985,1261000
1986,18750246
1987,180949000
1988,10000000
1989,225990978
1990,95311434
1991,17636261
1992,4385312
1993,390493908
1994,25303038
1995,8434146
1996,147214049
1997,11000000
1998,716392705
1999,65754228
